Title,Year,Duration,MPA,Rating,Votes,méta_score,description,Movie Link,writers,director,budget
66. Arabesque,1966,1h 45m,Approved,6.4,8.4K,,"International intrigue in London, involving an American university professor, an Arab prime minister, a ruthless businessman, a beautiful spy, and hieroglyphics.",https://www.imdb.com/title/tt0060121/?ref_=sr_i_66,,,
67. The Fortune Cookie,1966,2h 5m,Approved,7.2,16K,,A crooked lawyer persuades his brother-in-law to feign a serious injury.,https://www.imdb.com/title/tt0060424/?ref_=sr_i_67,,,
68. Funeral in Berlin,1966,1h 42m,Not Rated,6.8,8K,,"Sent to East Berlin to retrieve a Communist defector, British spy Harry Palmer suspects the situation is not what his superiors believe it to be.",https://www.imdb.com/title/tt0060437/?ref_=sr_i_68,,,
69. The Quiller Memorandum,1966,1h 44m,Approved,6.3,4.5K,,"In the West Berlin of the 1960s, two British agents are killed by a Nazi group, prompting British Intelligence to dispatch agent Quiller to investigate.",https://www.imdb.com/title/tt0060880/?ref_=sr_i_69,,,
70. The War Game,1966,48m,,7.9,7.5K,,A docudrama depicting a hypothetical nuclear attack on Britain.,https://www.imdb.com/title/tt0059894/?ref_=sr_i_70,,,
71. The Christmas That Almost Wasn't,1966,1h 29m,G,3.5,966,,Santa has to get a job as Santa to earn money to pay his overdue rent bill,https://www.imdb.com/title/tt0059032/?ref_=sr_i_71,,,
72. The Ghost and Mr. Chicken,1966,1h 30m,Approved,7.2,7.9K,,A timid typesetter hasn't a ghost of a chance of becoming a reporter - until he decides to solve a murder mystery and ends up spending a fright-filled night in a haunted house.,https://www.imdb.com/title/tt0059221/?ref_=sr_i_72,,,
"73. Kill, Baby... Kill!",1966,1h 23m,GP,6.9,8K,,"A Carpathian village is haunted by the ghost of a murderous little girl, prompting a coroner and a medical student to uncover her secrets while a witch attempts to protect the villagers.",https://www.imdb.com/title/tt0060794/?ref_=sr_i_73,,,
74. The Face of Another,1966,2h 4m,Not Rated,7.9,11K,,"A businessman with a disfigured face obtains a lifelike mask from his doctor, but the mask starts altering his personality.",https://www.imdb.com/title/tt0061065/?ref_=sr_i_74,,,
75. Duel at Diablo,1966,1h 43m,Approved,6.5,4.4K,,"In Apache territory, a supply Army column heads for the next fort, an ex-scout searches for the killer of his Indian wife, and a housewife abandons her husband in order to rejoin her Apache lover's tribe.",https://www.imdb.com/title/tt0060355/?ref_=sr_i_75,,,
76. Modesty Blaise,1966,1h 59m,,5.0,3.3K,,"Stylish ex-con Modesty Blaise and her partner Willie Garvin are tasked by the British Secret Service with preventing her rival Gabriel from stealing diamonds that are to be delivered to her adoptive father, a Sheikh.",https://www.imdb.com/title/tt0060708/?ref_=sr_i_76,,,
77. Is Paris Burning?,1966,2h 53m,Approved,6.8,5.3K,,"August 1944. The Allies are approaching Paris and resistance groups within the city start to plan an uprising against the Germans. However, Hitler wants the city destroyed if it looks like the Allies will take it.",https://www.imdb.com/title/tt0060814/?ref_=sr_i_77,,,
78. Hot Rods to Hell,1966,1h 32m,Approved,5.4,1.1K,,The new owner of a motel in the California desert has a run-in with a gang of delinquent teenage hot rod drivers.,https://www.imdb.com/title/tt0061784/?ref_=sr_i_78,,,
"79. Follow Me, Boys!",1966,2h 11m,Approved,7.1,2.7K,,A man settles down in a small town and becomes the scoutmaster.,https://www.imdb.com/title/tt0060420/?ref_=sr_i_79,,,
80. Navajo Joe,1966,1h 33m,Approved,6.3,4.7K,,A Native American warrior seeks revenge on the gang of sadistic scalphunters-turned-bank robbers who massacred his tribe.,https://www.imdb.com/title/tt0061587/?ref_=sr_i_80,,,
81. Cast a Giant Shadow,1966,2h 26m,Approved,6.3,4K,,"In 1947, following the U.N. decision to split British Palestine into separate Jewish and Arab states, a former U.S. Army officer is recruited by the Jews to reorganize the Haganah.",https://www.imdb.com/title/tt0060218/?ref_=sr_i_81,,,
82. Penelope,1966,1h 37m,Approved,6.2,2.2K,,"Comedy about a flighty, bored, kleptomaniac wife of a banker who robs her husband's bank of $60,000.",https://www.imdb.com/title/tt0060818/?ref_=sr_i_82,,,
83. Tokyo Drifter,1966,1h 22m,Not Rated,7.1,10K,,"After his gang disbands, a yakuza enforcer looks forward to life outside of organized crime but soon must become a drifter after his old rivals attempt to assassinate him.",https://www.imdb.com/title/tt0061101/?ref_=sr_i_83,,,
84. Island of Terror,1966,1h 29m,Approved,6.1,4.2K,,An isolated remote island community is threatened by an attack by tentacled silicates which liquefy and digest bone and tissue.,https://www.imdb.com/title/tt0060548/?ref_=sr_i_84,,,
85. Frankie and Johnny,1966,1h 27m,Approved,5.5,2.5K,,"A riverboat singer with a weakness for gambling wants to find his lucky redhead, but his girlfriend Frankie is not amused.",https://www.imdb.com/title/tt0060429/?ref_=sr_i_85,,,
86. The Plague of the Zombies,1966,1h 30m,Approved,6.5,5.9K,,"During a mysterious epidemic in a small Cornish village, the local doctor summons his professor friend for help.",https://www.imdb.com/title/tt0060841/?ref_=sr_i_86,,,
87. The Shooting,1966,1h 22m,G,6.4,6.7K,,A mysterious woman persuades two cowboys to help her in a revenge scheme.,https://www.imdb.com/title/tt0062262/?ref_=sr_i_87,,,
88. Don't Look Now... We're Being Shot At!,1966,2h 12m,G,7.9,21K,,Several ordinary Frenchmen go on an epic voyage through the occupied country to the free zone as they help British pilots avoid German captivity.,https://www.imdb.com/title/tt0060474/?ref_=sr_i_88,,,
89. Eye of the Devil,1966,1h 36m,Approved,6.1,3.4K,,Workers employed at a French vineyard quietly follow old pagan rituals that call for the life of the marquis owner to save his crops during dry seasons.,https://www.imdb.com/title/tt0061634/?ref_=sr_i_89,,,
90. Gambit,1966,1h 49m,Approved,7.0,7K,,"An English cat burglar needs a Eurasian dancer's help to pull off the perfect heist, but even the most foolproof schemes have a way of backfiring.",https://www.imdb.com/title/tt0060445/?ref_=sr_i_90,,,
91. The Sword of Doom,1966,2h,Not Rated,7.9,12K,,"Through his unconscionable actions against others, a sociopath samurai builds a trail of vendettas that follow him closely.",https://www.imdb.com/title/tt0060277/?ref_=sr_i_91,,,
92. The Wild Angels,1966,1h 33m,R,5.6,3.5K,,"The ""Angels"", a San Pedro motorcycle gang, party their way through the Coachella Valley while searching for a bike stolen from them by Mexicans, clashing with police along the way.",https://www.imdb.com/title/tt0061189/?ref_=sr_i_92,,,
93. Mondo Topless,1966,1h,X,4.8,1.4K,,Completely topless. Completely uninhibited. The craze that began in San Francisco is now exploding across the USA and Europe.,https://www.imdb.com/title/tt0060712/?ref_=sr_i_93,,,
94. Black Girl,1966,1h 5m,Not Rated,7.4,6.4K,,A black girl from Senegal becomes a servant in France.,https://www.imdb.com/title/tt0060758/?ref_=sr_i_94,,,
